match_id,season_code,season_start,div,match_date,kickoff_time,home_team,away_team,referee,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
c91ceb03a8381e49c6b389569eab330e7d1e9853427f5393eb5a6ad4994e4ae3,0304,2003,E0,2003-08-16,,Arsenal,Everton,M Halsey,2,1,H,1,0,H,11,13,5,7,8,15,6,9,1,3,1,1
9d4240425b23a111c1e232b93485e4ded3d86b2d8dacfa60e32b155a22d3325f,0304,2003,E0,2003-08-16,,Birmingham,Tottenham,R Styles,1,0,H,1,0,H,10,15,5,7,20,27,1,4,3,5,0,0
8b227e9f6afee3b27ab6e8f80412e79e7debf471c289a17d17018c60ba47beb6,0304,2003,E0,2003-08-16,,Blackburn,Wolves,J Winter,5,1,H,2,0,H,25,8,13,5,8,14,6,2,1,1,0,0
ebc7e1084cd809098d2634f4b4c5a209aa9cfd8d59fdd27c74fee6f353328fe8,0304,2003,E0,2003-08-16,,Fulham,Middlesbrough,G Poll,3,2,H,1,1,D,17,8,9,5,18,16,7,6,1,1,0,0
70f80ae662868c662e36685be9afd5b0c0d9786b455f1a3b274c0cae922df9e4,0304,2003,E0,2003-08-16,,Leicester,Southampton,M Riley,2,2,D,2,0,H,12,13,7,10,27,15,2,7,3,1,0,0
315323e182021515cec2ef1cd1bbc342628adf8460d98af3b96ed2b567f617bc,0304,2003,E0,2003-08-16,,Man United,Bolton,P Durkin,4,0,H,1,0,H,13,15,6,5,12,8,8,4,0,4,0,0
eba472a3e094ae735ec13edddfb8009088ae4de182bfd30d9c9f2381c0773d39,0304,2003,E0,2003-08-16,,Portsmouth,Aston Villa,G Barber,2,1,H,1,0,H,4,9,3,5,18,22,7,9,2,1,0,1
10e0eeecf50cae319ac8e0d25fc3d5bd7af086de1862c2a6758e8d1604780ccc,0304,2003,E0,2003-08-17,,Charlton,Man City,M Dean,0,3,A,0,2,A,10,14,5,8,12,16,4,7,2,1,1,0
179a232ce59ccdca4d608a3bd5a2a394221371a5894d3d4cc31e8530a701bf4f,0304,2003,E0,2003-08-17,,Leeds,Newcastle,R Martin,2,2,D,1,1,D,8,19,3,10,19,16,4,8,4,2,0,0
43b792414370dcb269bf3209b33abd862255550c907d18c68e5aca6b6cf81b99,0304,2003,E0,2003-08-17,,Liverpool,Chelsea,S Bennett,1,2,A,0,1,A,12,10,7,6,13,12,8,6,3,1,0,0
