match_id,season_code,season_start,div,match_date,kickoff_time,home_team,away_team,referee,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
990cfe3385554d0cdfa5d2af53cdcff42b855a3464118c52f52a92f1d6ce29d4,0001,2000,E0,2000-08-19,,Charlton,Man City,Rob Harris,4,0,H,2,0,H,17,8,14,4,13,12,6,6,1,2,0,0
e4ca1834c3046dbf5c557182975909cb0907bfbd3bb2690f45104949c94c4ed0,0001,2000,E0,2000-08-19,,Chelsea,West Ham,Graham Barber,4,2,H,1,0,H,17,12,10,5,19,14,7,7,1,2,0,0
0d7f26690cfc72bcd96e13ef89491b1f09cc8e455b6e35965a52766ca5c7e86a,0001,2000,E0,2000-08-19,,Coventry,Middlesbrough,Barry Knight,1,3,A,1,1,D,6,16,3,9,15,21,8,4,5,3,1,0
6e129fd03ea4378600e21a1f66f0c39f19c9bf508e3eb57bc35c4d2b2e8ac978,0001,2000,E0,2000-08-19,,Derby,Southampton,Andy D'Urso,2,2,D,1,2,A,6,13,4,6,11,13,5,8,1,1,0,0
434ce84cbdd0bd6d918626eba2248535371f7548612ebccdb23fbef1a87a4ed8,0001,2000,E0,2000-08-19,,Leeds,Everton,Dermot Gallagher,2,0,H,2,0,H,17,12,8,6,21,20,6,4,1,3,0,0
ab600273fceb5497f7bb67152f136b58f39175ee5a42e665c208a51f4544bf12,0001,2000,E0,2000-08-19,,Leicester,Aston Villa,Mike Riley,0,0,D,0,0,D,5,5,4,3,12,12,5,4,2,3,0,0
0617812377ca3cb2c15cd35aa4fd86b331a39ee65dbfa8398964f7664ffbf409,0001,2000,E0,2000-08-19,,Liverpool,Bradford,Paul Durkin,1,0,H,0,0,D,16,3,10,2,8,8,6,1,1,1,0,0
9719fd4ceaf196ecd710982bcbdf40cb8772882094c433036afd31624f5a9f98,0001,2000,E0,2000-08-19,,Sunderland,Arsenal,Steve Dunn,1,0,H,0,0,D,8,14,2,7,10,21,2,9,3,1,0,1
586adcd823722596beedbe34c1495dc2673b34ae81aea3cfdedee2c83818be59,0001,2000,E0,2000-08-19,,Tottenham,Ipswich,Alan Wiley,3,1,H,2,1,H,20,15,6,5,14,13,3,4,0,0,0,0
194629759127becb24bd5ba10fc4375980f572ccd1ea0b7d306734889249cdf5,0001,2000,E0,2000-08-20,,Man United,Newcastle,Steve Lodge,2,0,H,1,0,H,19,9,9,6,7,13,7,1,0,1,0,0
