match_id,season_code,season_start,div,match_date,kickoff_time,home_team,away_team,referee,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
e1ff78399a17eea4e60df4a4b200436f334347c4b34a49aafcdd391ec8196ab3,0506,2005,E0,2005-08-13,,Aston Villa,Bolton,M Riley,2,2,D,2,2,D,3,13,2,6,14,16,7,8,0,2,0,0
8781812b524af4a7172df551eff07233cde33178fb8d00d25eb074800ac77c68,0506,2005,E0,2005-08-13,,Everton,Man United,G Poll,0,2,A,0,1,A,10,12,5,5,15,14,8,6,3,1,0,0
2a7df5dad8fc477661c76bd81c2dbaf251cafb1b243fadbeee902ddfd864badb,0506,2005,E0,2005-08-13,,Fulham,Birmingham,R Styles,0,0,D,0,0,D,15,7,7,4,12,13,6,6,1,2,0,0
5117c3118b1fc7463592a39c9ba71462b6e0038e91c6f43ae628c06b63b2de3f,0506,2005,E0,2005-08-13,,Man City,West Brom,C Foy,0,0,D,0,0,D,15,13,8,3,13,11,3,6,2,3,0,0
ade79db3ac4b7fc97eefd86d1b90bdbe08bf1b8b40e8061e6464a8928e411230,0506,2005,E0,2005-08-13,,Middlesbrough,Liverpool,M Halsey,0,0,D,0,0,D,4,16,2,7,17,11,5,0,2,3,1,0
378d388d884472777c837a381677662b41028f896798f3432e1b0291ce01b297,0506,2005,E0,2005-08-13,,Portsmouth,Tottenham,B Knight,0,2,A,0,1,A,11,11,7,6,13,23,7,2,0,2,0,0
a7beb8ab929eef65eb9053a75bc1609199de71d23040a0752082a54c23277097,0506,2005,E0,2005-08-13,,Sunderland,Charlton,H Webb,1,3,A,1,1,D,12,14,8,4,15,17,5,5,2,0,0,1
a32e3f27a0e8c65c6df38bc133b5ee5429608a71ce6e2e893113e987da520825,0506,2005,E0,2005-08-13,,West Ham,Blackburn,A Wiley,3,1,H,0,1,A,13,11,5,5,11,14,2,6,0,1,0,1
c8362b52bc26987396e4c01af840e6a044d3a797745afb911a010e1b20344b98,0506,2005,E0,2005-08-14,,Arsenal,Newcastle,S Bennett,2,0,H,0,0,D,15,2,12,1,15,17,8,3,0,1,0,1
fb241de437b47ce045b04ba24ff5f95e5dcf77c2fa93658d29ab7884fb2450e1,0506,2005,E0,2005-08-14,,Wigan,Chelsea,M Clattenburg,0,1,A,0,0,D,12,20,5,9,14,7,2,6,1,0,0,0
89fc9374133a5b3a819e53de537b91f093f5d9c52233fb8623c76dd577c7c17c,0506,2005,E0,2005-08-20,,Birmingham,Man City,M Clattenburg,1,2,A,1,1,D,9,9,2,6,7,12,9,4,3,1,0,0
8a4d692edb12faaa5de3d1e38fc8cf209f2e86f1b0dc640b9624e658c69b363a,0506,2005,E0,2005-08-20,,Blackburn,Fulham,H Webb,2,1,H,1,0,H,16,8,9,4,26,14,8,1,2,2,0,0
ff38b943573dc199eb12ccef21568c78b37691e7ee719752ce6643e6747f39ab,0506,2005,E0,2005-08-20,,Charlton,Wigan,R Styles,1,0,H,1,0,H,21,4,10,0,10,11,4,4,0,1,0,0
0f382f2eb34a058f98b6c2e60f5aa84e2f35df2fdc160d25a5395f6b8c118464,0506,2005,E0,2005-08-20,,Liverpool,Sunderland,B Knight,1,0,H,1,0,H,15,2,6,0,8,20,5,5,2,3,0,1
7da0ab30aafd611be4afcfe941e33c846d7324ef64b83f2ef29ea1f5c97c66b5,0506,2005,E0,2005-08-20,,Man United,Aston Villa,P Dowd,1,0,H,0,0,D,18,3,12,3,13,21,11,7,2,1,0,0
58b6e6eb9a2e2fe11c6fc5b2fae8fee0509d9ae6bcbe2f0dbede0ba896a3e9eb,0506,2005,E0,2005-08-20,,Newcastle,West Ham,D Gallagher,0,0,D,0,0,D,14,6,6,1,9,11,10,2,1,1,0,1
a68b25a3a44850223f83f95eabdbebb7af697aed5c3953f1290332111e24a522,0506,2005,E0,2005-08-20,,Tottenham,Middlesbrough,M Atkinson,2,0,H,0,0,D,18,12,8,3,16,10,5,6,3,1,0,0
946d9944e3029ee6230bd356530eb832a727fc1ada491bc9a5628c4a269eff8d,0506,2005,E0,2005-08-20,,West Brom,Portsmouth,M Riley,2,1,H,1,0,H,6,10,2,2,21,19,3,3,4,3,0,0
890245cf46e9b5776413da1d40c8672a1770c97485a125767c09a26b1d6fe6dd,0506,2005,E0,2005-08-21,,Bolton,Everton,A Wiley,0,1,A,0,0,D,16,3,6,1,10,13,8,3,0,1,0,0
ad515286ed14710ba9fb70a5fe39ef6a16d8ac4ab7bbf75e632681bc667053d3,0506,2005,E0,2005-08-21,,Chelsea,Arsenal,G Poll,1,0,H,0,0,D,9,9,6,3,17,21,3,7,2,3,0,0
847d255724bb72818191df41882b8f269bb27d547e41ff8c70ed272d10fd592c,0506,2005,E0,2005-08-23,,Birmingham,Middlesbrough,P Dowd,0,3,A,0,2,A,14,8,8,3,14,15,2,2,0,1,0,0
81a3dc02a5b5b53e552b6d973f418d70d536b8162780f25b4e5f0fa12d35381b,0506,2005,E0,2005-08-23,,Portsmouth,Aston Villa,G Poll,1,1,D,1,1,D,20,7,11,3,12,10,13,4,3,1,0,1
37e03ad6a6e28325611875f722587feff9bbb8008b9d84fb0800e0a423650722,0506,2005,E0,2005-08-23,,Sunderland,Man City,P Walton,1,2,A,1,2,A,15,12,10,7,10,10,5,3,1,2,0,0
1eb9273bb56a69cd8707f078c08165270253dca0b582d27e9be1a6ca07383227,0506,2005,E0,2005-08-24,,Arsenal,Fulham,M Clattenburg,4,1,H,1,1,D,20,8,14,3,16,11,6,7,5,2,0,0
850f5d9a713c5e0d0a55e42d699f6c2bb70e80ccb8c5421d5eb55f658e894d53,0506,2005,E0,2005-08-24,,Blackburn,Tottenham,D Gallagher,0,0,D,0,0,D,11,1,7,1,15,12,7,0,2,2,1,0
72d02ede3430983185ac11d842f0707615cddac9e71d04615b9d2505cdbfe8e5,0506,2005,E0,2005-08-24,,Bolton,Newcastle,R Styles,2,0,H,1,0,H,14,7,6,4,12,17,4,3,0,1,0,0
59b0f6b91f7215bbbf97fe9d9e440f50ca9b9470314ab7bebfbf6af55cdea3aa,0506,2005,E0,2005-08-24,,Chelsea,West Brom,M Halsey,4,0,H,2,0,H,11,0,8,0,10,7,9,1,0,1,0,0
ec9e8e0730dbf0a7b682f3d2cc3d237991b3b62df4d2a954a56a0b7447f09709,0506,2005,E0,2005-08-27,,Aston Villa,Blackburn,M Clattenburg,1,0,H,1,0,H,10,9,3,2,13,16,4,11,2,2,0,0
4b58242dd17036fd15faedb9e9343065f065e4132faba0e4eb7116160d37869f,0506,2005,E0,2005-08-27,,Fulham,Everton,M Riley,1,0,H,0,0,D,9,6,4,2,19,25,6,2,1,2,0,1
3bdb4ae4617bdb7c3b1d176ae3dfe400410a493192fa9ef3081f7084de945b78,0506,2005,E0,2005-08-27,,Man City,Portsmouth,A Wiley,2,1,H,0,0,D,16,7,9,2,13,17,12,3,1,2,0,0
9637a0861e623ee16d7ce465bbbd2ff23fed9b6c9d3ff9cf82b887ae6aed71f5,0506,2005,E0,2005-08-27,,Tottenham,Chelsea,R Styles,0,2,A,0,1,A,11,13,6,7,16,12,2,5,3,2,1,0
6ff0e10fcda2b67807df9edeb6f9db63a605fa9591e27d462210a5c65798b19a,0506,2005,E0,2005-08-27,,West Brom,Birmingham,G Poll,2,3,A,1,3,A,15,8,8,7,11,24,3,2,1,3,0,0
d7e094230c578522c37d7972e956ff302a7f3878513a1cc3c07a3c84c26d01c2,0506,2005,E0,2005-08-27,,West Ham,Bolton,P Dowd,1,2,A,0,0,D,13,10,6,6,13,16,7,7,1,4,0,0
bbc1d6e212f1d2c528272db7d70237c9c0019ff30d8272b329e4027f6c5c2316,0506,2005,E0,2005-08-27,,Wigan,Sunderland,S Bennett,1,0,H,1,0,H,11,9,5,7,11,13,0,6,3,3,0,0
6025bc91c01ad3a1b9e588cd8f85ac5b8b7981685df689276edb521b8353dbc7,0506,2005,E0,2005-08-28,,Middlesbrough,Charlton,M Dean,0,3,A,0,1,A,10,12,6,8,18,15,6,1,2,1,0,0
b5a8d80be497892cb06be9834ae8b47d260f078642e007b3e5cff0a8bab6ae03,0506,2005,E0,2005-08-28,,Newcastle,Man United,H Webb,0,2,A,0,0,D,9,11,4,5,26,16,5,3,1,2,0,0
1b5e6c860e9865ddcc358265437ab106d1d89c503e56327f272588fe86c1c502,0506,2005,E0,2005-09-10,,Birmingham,Charlton,M Halsey,0,1,A,0,1,A,18,8,5,4,9,10,13,4,0,2,0,0
ea46c3068942e9b3c8761f1e44b4f3b2407b53739bbe4bd29c84c663d244b17b,0506,2005,E0,2005-09-10,,Chelsea,Sunderland,M Dean,2,0,H,0,0,D,9,2,6,2,14,10,4,2,1,0,0,0
26803fabccafc99328f828778af9f080279e53e1ca876441298f5a7da000bdba,0506,2005,E0,2005-09-10,,Everton,Portsmouth,M Atkinson,0,1,A,0,0,D,11,12,6,8,10,12,11,6,2,1,0,0
b249e889ae30782b90c059693c76358004bdbc252b1c07b73bc0b29558a741a6,0506,2005,E0,2005-09-10,,Man United,Man City,S Bennett,1,1,D,1,0,H,7,5,2,3,12,18,3,5,1,4,0,0
19e87c2619aefd17f3472ae382a1f096e0d5b010e77b254113d94ffe551336a0,0506,2005,E0,2005-09-10,,Middlesbrough,Arsenal,M Riley,2,1,H,1,0,H,6,13,5,8,17,16,6,7,3,4,0,0
31468bc58fc7e04549a16cff3f55c4eb6039271eb20d71b835651d03bb39ba0f,0506,2005,E0,2005-09-10,,Newcastle,Fulham,A Wiley,1,1,D,0,1,A,15,13,10,8,19,16,10,8,4,1,1,0
94d1958ad19a38791142e43638d38b3ee9e66daeb9e1e8fa33a81c6511642e13,0506,2005,E0,2005-09-10,,Tottenham,Liverpool,H Webb,0,0,D,0,0,D,10,11,7,6,16,13,4,4,1,1,0,0
