match_id,season_code,season_start,div,match_date,kickoff_time,home_team,away_team,referee,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
78a29c8ea6e70aef5b609b6fa20a07f1747f3d1b30ef85f7d14ab34aa5a0f24f,9900,1999,E0,1999-08-07,,Arsenal,Leicester,,2,1,H,0,0,D,,,,,,,,,,,,
694887d41adf838bd705786609e0ccbb504bd111f07560fbf19555bf52006490,9900,1999,E0,1999-08-07,,Chelsea,Sunderland,,4,0,H,2,0,H,,,,,,,,,,,,
24759724850d9fd8525efb1f8de75bb1c047ae547d1928cd4a8878616e5919ed,9900,1999,E0,1999-08-07,,Coventry,Southampton,,0,1,A,0,0,D,,,,,,,,,,,,
45f6f24334780efb0700c2f45c68898ffad89e47139960e4bfd03f359da9ecb9,9900,1999,E0,1999-08-07,,Leeds,Derby,,0,0,D,0,0,D,,,,,,,,,,,,
c168e3d8e0b7e057261095f81fd11003671057a2fcbcb5542e6b5695634c833c,9900,1999,E0,1999-08-07,,Middlesbrough,Bradford,,0,1,A,0,0,D,,,,,,,,,,,,
588d953c3caf78a7c5fdfc4a08602123e3bdc12d3f6239d01abc49bb1f6d3f54,9900,1999,E0,1999-08-07,,Newcastle,Aston Villa,,0,1,A,0,0,D,,,,,,,,,,,,
36e2f5cb44bd60d09ece72ac9088ff0f1dd9721241bd238a2e17e3669c268c57,9900,1999,E0,1999-08-07,,Sheffield Weds,Liverpool,,1,2,A,0,0,D,,,,,,,,,,,,
e3820f3ac0eb202f801616d6ea55ef3a7c227c83b6987df46c9d5aca5b36c44c,9900,1999,E0,1999-08-07,,Watford,Wimbledon,,2,3,A,1,2,A,,,,,,,,,,,,
03ebc297e761a43dafefffcf10462ab67d6413ee117de5f62e22f186a9eab8b7,9900,1999,E0,1999-08-07,,West Ham,Tottenham,,1,0,H,1,0,H,,,,,,,,,,,,
b7ea15114f2569e849a44c52949ec8f408fbb3e72a98d7a80a8143e4634aab66,9900,1999,E0,1999-08-08,,Everton,Man United,,1,1,D,0,1,A,,,,,,,,,,,,
76f310924e7b45139f711169b3bf96c7d033470a1204798e214c15778182602a,9900,1999,E0,1999-08-09,,Tottenham,Newcastle,,3,1,H,2,1,H,,,,,,,,,,,,
96059f988ed29d5b9466d756aacb955c413a31b58a4e130e77c1f8f2dead4685,9900,1999,E0,1999-08-10,,Derby,Arsenal,,1,2,A,1,1,D,,,,,,,,,,,,
e72a272dc2fa9ff52a99d6942fd15772d26aa101e49780f264bb031ed5e3a637,9900,1999,E0,1999-08-10,,Sunderland,Watford,,2,0,H,0,0,D,,,,,,,,,,,,
06fea438c66283ead57acf8d0a56eeff2736923ce65b3bfc0cb5823c5501d65f,9900,1999,E0,1999-08-10,,Wimbledon,Middlesbrough,,2,3,A,1,2,A,,,,,,,,,,,,
864e4e5533212ae0de4f978e549c1110e163253db3ed469f0e8b9fd021a1cffb,9900,1999,E0,1999-08-11,,Aston Villa,Everton,,3,0,H,1,0,H,,,,,,,,,,,,
60273cbc693f814538390c0c1c9f7ef91baa2cadaede1afb147414cec60f3134,9900,1999,E0,1999-08-11,,Leicester,Coventry,,1,0,H,1,0,H,,,,,,,,,,,,
0d94448501d6158632ea23c7fb269b87047051a3147e101d65544228a32bdbd4,9900,1999,E0,1999-08-11,,Man United,Sheffield Weds,,4,0,H,2,0,H,,,,,,,,,,,,
dc0933a084fbbc150e5eec3d022205dfb4078e5588e02e55cfe6c504000cf23a,9900,1999,E0,1999-08-11,,Southampton,Leeds,,0,3,A,0,1,A,,,,,,,,,,,,
f2a47dccff3d8a471b5847b141b98357dca037c98936f2adaacc6cf6b60ca840,9900,1999,E0,1999-08-14,,Bradford,Sheffield Weds,,1,1,D,0,1,A,,,,,,,,,,,,
5a6e9291ccf6cda77ec89fc57a75e708077e8b1b073bcf6f89bb8d6fdee99dba,9900,1999,E0,1999-08-14,,Derby,Middlesbrough,,1,3,A,1,2,A,,,,,,,,,,,,
85c1caa455744d4eae2546b750a1b9818fd3c9191757848e05443ed9965ff19b,9900,1999,E0,1999-08-14,,Leicester,Chelsea,,2,2,D,1,0,H,,,,,,,,,,,,
03b95062560de8c5e64594cc00eca15160f440fd14f5b341ad86f9a2bdc99af9,9900,1999,E0,1999-08-14,,Liverpool,Watford,,0,1,A,0,1,A,,,,,,,,,,,,
e6ec67b56f9b926820ae6dcf141f1ff97ca0bd18002811a34741c81b598325bd,9900,1999,E0,1999-08-14,,Man United,Leeds,,2,0,H,0,0,D,,,,,,,,,,,,
36c10c98d5ec49b665435090ac2fa49b349f1c7f3c69dad30354482c9e82fabd,9900,1999,E0,1999-08-14,,Sunderland,Arsenal,,0,0,D,0,0,D,,,,,,,,,,,,
40b68595cc9abf81a08fc76c08fb368698395e53feef311888794d386a790484,9900,1999,E0,1999-08-14,,Tottenham,Everton,,3,2,H,1,1,D,,,,,,,,,,,,
