match_id,season_code,season_start,div,match_date,kickoff_time,home_team,away_team,referee,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
646ea1b9437b8f2b46dfb923d2fa7b732fcf75c8feb4660ed0bd23d3d40917ba,0809,2008,E0,2008-08-16,,Arsenal,West Brom,H Webb,1,0,H,1,0,H,24,5,14,4,11,8,7,5,0,0,0,0
d0c0f45fe6d70da212cf1b659ae50cf1cc87edc309937817d9ab3aae76014a85,0809,2008,E0,2008-08-16,,Bolton,Stoke,C Foy,3,1,H,3,0,H,14,8,8,2,13,12,4,3,1,2,0,0
ddaacde7172b67a9f415565879d12e7ecd24e7bdae7ab40a5117a60d93be9d32,0809,2008,E0,2008-08-16,,Everton,Blackburn,A Marriner,2,3,A,1,1,D,10,15,5,11,11,9,3,5,2,2,0,0
fb9e35c6f56c11fe5a2d6aba65e4f92ccc389daccfb076d63bf37e4a75fbd7d6,0809,2008,E0,2008-08-16,,Hull,Fulham,P Walton,2,1,H,1,1,D,11,12,6,6,10,9,5,6,3,0,0,0
78414227f721e39f193bdc8326c2ef5f9462b970bda47f55f58097be84969041,0809,2008,E0,2008-08-16,,Middlesbrough,Tottenham,M Atkinson,2,1,H,0,0,D,14,8,10,5,11,12,7,9,1,2,0,0
2a3d5d56eb72b4962060f39b60e417173e0a26a10b173c24d3470571788c1b81,0809,2008,E0,2008-08-16,,Sunderland,Liverpool,A Wiley,0,1,A,0,0,D,6,14,3,8,13,12,1,8,0,2,0,0
cf2e83ac1350e8a17fef3f70ab9f573c7d02396ec2e90e5883060710991cedf5,0809,2008,E0,2008-08-16,,West Ham,Wigan,S Bennett,2,1,H,2,0,H,15,22,8,9,14,11,6,10,2,1,0,0
edd1e57b6142842473949b486b034d99fcc4760d4b69b66118d56708ccde514b,0809,2008,E0,2008-08-17,,Aston Villa,Man City,P Dowd,4,2,H,0,0,D,14,13,10,8,8,11,7,8,0,1,0,0
6dae5a49c81bc05af74191afad5ad92c5644fe8938ea58696ed4f2e897b390df,0809,2008,E0,2008-08-17,,Chelsea,Portsmouth,M Dean,4,0,H,3,0,H,18,12,11,8,10,6,8,3,0,1,0,0
cd6e70367b0f0a0dd8a9f2d8c3a037aa0721944ec671efd3c8029b7b503e1ea3,0809,2008,E0,2008-08-17,,Man United,Newcastle,M Riley,1,1,D,1,1,D,18,11,12,4,15,11,6,6,3,0,0,0
86c59e117c02b7e405063e2d371478b47a2ea4a03967a053ceed756628ad8954,0809,2008,E0,2008-08-23,,Blackburn,Hull,S Attwell,1,1,D,1,1,D,12,7,5,4,11,15,6,3,0,1,0,0
399ab65ecb7bfe97b1986e096e754b386448702df5e00f795770e7dde823543e,0809,2008,E0,2008-08-23,,Fulham,Arsenal,M Atkinson,1,0,H,1,0,H,5,15,2,6,14,6,1,5,2,0,0,0
7ac7296aa05248cffe09957b95c87c3b58b2256ea2d6800d17117fd4ab5f9058,0809,2008,E0,2008-08-23,,Liverpool,Middlesbrough,M Riley,2,1,H,0,0,D,16,9,8,4,10,12,14,3,2,1,0,0
f0cd3400298332c01354f6a60dd63e98dd6063ca88914e9cead734c9b4608a3f,0809,2008,E0,2008-08-23,,Newcastle,Bolton,S Bennett,1,0,H,0,0,D,10,9,8,4,8,13,4,6,1,2,0,0
04cac008c10d591eaea51d4b2a88ab9a142947470011169448441930335b0f25,0809,2008,E0,2008-08-23,,Stoke,Aston Villa,M Halsey,3,2,H,1,0,H,8,5,2,2,15,5,2,8,1,0,0,0
78026ba031f3be6f5acd33295d5111a2a5b79b6723d05883e9798f85c2d0a873,0809,2008,E0,2008-08-23,,Tottenham,Sunderland,M Dean,1,2,A,0,0,D,18,12,11,7,12,12,12,6,1,2,0,0
b2bb74404b6394b872e2a936321873ab59025ce867b0044cd976ec9c3cfadd95,0809,2008,E0,2008-08-23,,West Brom,Everton,R Styles,1,2,A,0,0,D,14,9,4,7,11,14,11,5,3,1,0,0
c44a75282e73e854713dcf8967707947fff983e4e1e9e377fffe75dffa7aadcf,0809,2008,E0,2008-08-24,,Man City,West Ham,H Webb,3,0,H,0,0,D,14,3,9,0,12,16,6,3,0,2,0,1
ab85ac7c973135a5d50cdc5f4820d79f6e457b34006b10bf8b1000ae472578f6,0809,2008,E0,2008-08-24,,Wigan,Chelsea,A Wiley,0,1,A,0,1,A,10,7,6,3,13,17,7,7,1,2,0,0
