match_id,season_code,season_start,div,match_date,kickoff_time,home_team,away_team,referee,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
0fef0cc21a5ca560143f748693963efc9e90cc90e0f06c72b25aea1d095f63e1,9394,1993,E0,1993-08-14,,Arsenal,Coventry,,0,3,A,,,,,,,,,,,,,,,
318d63396e212416dbfd3c90e30c805a7767a12c01328c615c495cc7bc9d56f9,9394,1993,E0,1993-08-14,,Aston Villa,QPR,,4,1,H,,,,,,,,,,,,,,,
174403d0e10f52542b1ceed9a328a843e9f041c2af3f4fbab8c19f11ecf76944,9394,1993,E0,1993-08-14,,Chelsea,Blackburn,,1,2,A,,,,,,,,,,,,,,,
141a4611b48360b57b12f40e4a06f0134cf393efac19e141b2e3ecf02f01dc63,9394,1993,E0,1993-08-14,,Liverpool,Sheffield Weds,,2,0,H,,,,,,,,,,,,,,,
b051024d9f907410f8b00a6f2607562d859bf4c7f18236ca8d2d1f54ca330968,9394,1993,E0,1993-08-14,,Man City,Leeds,,1,1,D,,,,,,,,,,,,,,,
8b136b182dd0677c271bc59bb0397c2300773dfbf9e1b8f0b6bd07cf3519f363,9394,1993,E0,1993-08-14,,Newcastle,Tottenham,,0,1,A,,,,,,,,,,,,,,,
90bf12d4bff0c0b0c6304f018092b10ca68ad045115cf396d3e2e3b2f71bedce,9394,1993,E0,1993-08-14,,Oldham,Ipswich,,0,3,A,,,,,,,,,,,,,,,
536ac6a38b4ca0237ff9137ec9fa8e546cbc76dd4552a3ef185752731c8721e0,9394,1993,E0,1993-08-14,,Sheffield United,Swindon,,3,1,H,,,,,,,,,,,,,,,
bbc17f7e921e128ee508267fb249dbd1e67b51a2d98d17ca9761fdd79e0dde78,9394,1993,E0,1993-08-14,,Southampton,Everton,,0,2,A,,,,,,,,,,,,,,,
e28423e21cf27fbb2f123702b8c43b67b9583631f3cd1154b4e10d22faa81a41,9394,1993,E0,1993-08-14,,West Ham,Wimbledon,,0,2,A,,,,,,,,,,,,,,,
e12831a3fddd0976e55de9e7d2b6d93d04006c16d342b4d8c682c5ce4518e8ae,9394,1993,E0,1993-08-15,,Norwich,Man United,,0,2,A,,,,,,,,,,,,,,,
573b19778ee0c6446e80bfde2e155e90ac0203ca7474b689542a3d9329780fac,9394,1993,E0,1993-08-16,,Tottenham,Arsenal,,0,1,A,,,,,,,,,,,,,,,
4a45a59479b7a4334e4bdd591a096a0f140985d0787a8a0d43dce6ed4aa3d9cd,9394,1993,E0,1993-08-17,,Everton,Man City,,1,0,H,,,,,,,,,,,,,,,
33208198af0d4d61dadbb401d0b890566e7e0bfc24087241e0d7da5e25e9c3da,9394,1993,E0,1993-08-17,,Ipswich,Southampton,,1,0,H,,,,,,,,,,,,,,,
fb51f667a0e59d48327b8548de668c3a324e6992e5450c4774a04af86926d5ba,9394,1993,E0,1993-08-17,,Leeds,West Ham,,1,0,H,,,,,,,,,,,,,,,
c79f156439ff51acb4a5de34476b49c4b0817b9184102e5e927f400464eeb5a8,9394,1993,E0,1993-08-17,,Wimbledon,Chelsea,,1,1,D,,,,,,,,,,,,,,,
bc29c8c40784b46c8a43991b10b91001fa8d0f83dfda1d51963b06aca0ccf75e,9394,1993,E0,1993-08-18,,Blackburn,Norwich,,2,3,A,,,,,,,,,,,,,,,
9c6257738f2af8a5863f3379160bd47e494e87e26ec4589a16a0ba2b9272c3aa,9394,1993,E0,1993-08-18,,Coventry,Newcastle,,2,1,H,,,,,,,,,,,,,,,
4e84815a311c458262f00a107e65ecb2dbdff7a540074e14adee20d78f5663b2,9394,1993,E0,1993-08-18,,Man United,Sheffield United,,3,0,H,,,,,,,,,,,,,,,
77d22eb38591e09e46626e272560c7e7e3541331d3a0818a900e61b6944be194,9394,1993,E0,1993-08-18,,QPR,Liverpool,,1,3,A,,,,,,,,,,,,,,,
